Slokam,Slokam_en,"Slokam Meaning"
" <p>ब्रह्मण्यो ब्रह्मकृद् ब्रह्मा ब्रह्म ब्रह्मविवर्धनः ।<br>ब्रह्मविद् ब्राह्मणो ब्रह्मी ब्रह्मज्ञो ब्राह्मणप्रियः ॥ ७१॥</p>"," <p>brahmaṇyō brahmakṛdbrahmā brahma brahmavivardhanaḥ,<br>brahmavidbrāhmaṇō brahmī brahmaj&ntilde;ō brāhmaṇapriyaḥ. (71)</p>","   <p><strong>667. Brahmaṇyaḥ&nbsp;</strong>/a) He who is beneficial to all the big things both acetana and cetana, namely prakriti and atman. b) He who is beneficial to Brahman, namely the Veda, brahmans well-versed in scripture, penance, etc. Om brahmanyaya namah.</p>
    <p><strong>668. Brahmakṛt-Brahmā&nbsp;</strong> / The Creator Who created Brahma, the creator of big things. &nbsp;Om brahma-krt-brahmane namah.&nbsp;</p>
    <p><strong>669. Brahma&nbsp;</strong>/ The Supreme Brahman, Paramatma. &nbsp;Om brahmane namah.&nbsp;</p>
    <p><strong>670. Brahma-vivardhanaḥ&nbsp;</strong> / a) He Who makes dharma grow. b) He Who grows and nurtures everything in a big way. Om brahma-vivardhanaya namah.</p>
    <p><strong>671. Brahmavid &nbsp;</strong>/ a) The Knower of the Vedas. b) He Who restored the Vedas during His Matsya incarnation. c) He Who knows everything big, both seen and unseen, and those that can only be inferred. om brahmavide namah.</p>
    <p><strong>672. Brāhmaṇaḥ&nbsp;</strong>/ The Instructor of the Vedas. om brahamnaya namah.</p>
    <p><strong>673. Brahmī</strong> / a) He who possesses all that goes by the term brahma &ndash; prakriti, Purusha, Isvara, Veda, etc. b) He Who has the four-faced Brahma in His nabhi-kamalam. om brahmine namah.<br><strong>674. Brahmajñaḥ&nbsp;</strong>/ The Knower of the inner meaning of the Vedas. om brahmajnaya namah.</p>
    <p><strong>675. Brāhmaṇapriyaḥ&nbsp;</strong>/ a) He for Whom the brahamanas are of special liking. b) He Who is specially liked by the brahamanas. om brahamna-priyaya namah.</p>"
" <p>महाक्रमो महाकर्मा महातेजा महोरगः ।<br>महाक्रतुर्महायज्वा महायज्ञो महाहविः ॥ ७२॥</p>","  <p>mahākramō mahākarmā mahātejā mahōragaḥ,<br>mahākraturmahāyajvā mahāyaj&ntilde;ō mahāhaviḥ. (72)</p>","  <p><strong>676. Mahākramaḥ</strong> / a) He Who provides easy step-by-step access for the elevation of His devotee. b) He of the three great strides (in His Trivikrama incarnation). c) He Whose strides are great in that He reaches everything faster than anyone else. d) He Whose Feet are great (to surrender). om mahakramaya namah</p>
    <p><strong>677. Mahākarmā&nbsp;</strong>/He of great actions. Om mahakarmane namah.</p>
    <p><strong>678. Mahātejāḥ&nbsp;</strong>/ He of great Resplendence. Om mahatejase namah.</p>
    <p><strong>679. Mahoragaḥ&nbsp;</strong>/ a) He Who is great, and enters into our heart (uras). b) He Who has a great heart (uras), and blesses us. c) He Who manifests Himself in the form of the great serpent Ananta, Vasuki, etc. d) He Who has the serpent ananta as His bed. e) he Who traverses everywhere in the form of the Sun with His broad chest. Om mahoragaya namah.</p>
    <p><strong>680. Mahākratuḥ&nbsp;</strong>/ a) He Who is worshiped by the great yagas. b) He Who can be easily worshiped. c) He Who can be worshiped in many ways d) He Who is the Great Sacrifice (that gives the best results). e) He Who performed the great sacrifice called the pancaratra kratu. Om mahakratave namah.</p>
    <p><strong>681. Mahāyajvā&nbsp;</strong> / a) He Who performs great sacrifices. b) He Who has the special class of devotees (mahayajvas) of a superior nature. om mahayajvane namah.&nbsp;</p>
    <p><strong>682. Mahāyajñaḥ&nbsp;</strong> / &nbsp;a) He Who is the best among those to be worshiped. b) He Who manifests Himself in the form of the best of yajnas. c) He Who is worshiped by the great jnanis, or He Who is worshiped through great sacrifices. Om mahayajnaya namah.&nbsp;</p>
    <p><strong>683. Mahāhaviḥ&nbsp;</strong>/ &nbsp;a) He Who is worshiped with supreme oblations. b) He Who manifests Himself in the form of the great Offering. c) He Who accepts the whole Universe as havis at the time pralaya. Om mahahavishe namah.&nbsp;</p>
</body>"
"  <p>स्तव्यः स्तवप्रियः स्तोत्रं स्तुतिः स्तोता रणप्रियः ।<br>पूर्णः पूरयिता पुण्यः पुण्यकीर्तिरनामयः ॥ ७३॥</p>","  <p>stavyaḥ stavapriyaḥ stōtraṁ stutiḥ stōtā raṇapriyaḥ,<br>pūrṇaḥ pūrayitā puṇyaḥ puṇyakīrtiranāmayaḥ. (73)</p>","  <p><strong>684. Stavyaḥ</strong> / a) He Who is worthy of praise. b) He Who is praised by all, but who does not have to praise anyone else. Om stavyaya namah.<br><strong>685. Stava-priyaḥ&nbsp;</strong> / He Who is pleased by the praise in whatever form it is offered. om stava-priyaya namah.</p>
    <p><strong>686. Stotraṁ</strong>&nbsp; / The Eulogy Incarnate. Om stotraya namah.</p>
    <p><strong>687. Stutiḥ&nbsp;</strong>/&nbsp;He Who is praised. Om stutaya namah.</p>
    <p><strong>688. Stōtā</strong> / a) He Who praises those who extol Him. b) He Who is also the form of the Eulogizer of Bhagavan. Om stotre namah.</p>
    <p><strong>689. Raṇapriyaḥ</strong> / &nbsp;a) He Who delights in battle. b) He Who delights in the auspicious sounds in places of worship. c) He Who moves around happily in the form of the Sun etc. Om rana-priyaya namah.<br><strong>690. Pūrṇaḥ</strong> / &nbsp;He Who is complete. Om purnaya namah.<br><strong>691. Pūrayitā</strong> / The Fulfiller of the desires of His devotees. Om purayitre namah.</p>
    <p><strong>692. Puṇyaḥ&nbsp;</strong>/ a) The Purifier. b) He Who is excellent in performing pious activities. Om punyaya namah.</p>
    <p><strong>693. Puṇyakīrtiḥ</strong> / &nbsp;He Whose kirti or praise is also purifying (in addition to Him being the Purifier). Om punya-kirtaye namah.</p>
    <p><strong>694. Anāmayaḥ&nbsp;</strong> / a) He Who removes the disease of samsara. b) He Who is beyond pain or suffering &ndash; internal, external, karma-related, etc. om anamayaya namah.</p>"
"  <p>मनोजवस्तीर्थकरो वसुरेता वसुप्रदः ।<br>वसुप्रदो वासुदेवो वसुर्वसुमना हविः ॥ ७४॥</p>"," <p>manōjavastīrthakarō vasuretā vasupradaḥ,<br>vasupradō vāsudevō vasurvasumanā haviḥ. (74)</p>","   <p><strong>695. Manōjavaḥ</strong>&nbsp; / He Who is swift as thought. Om mano-javase namah.</p>
    <p><strong>696. Tīrthakaraḥ&nbsp;</strong> / a) He Who is the source of the holy waters. b) He Who makes us cross over the ocean of samsara. c) He Whose touch of hand is purifying. d) He Who has provided simple steps to access Him through His various incarnations. Om tirtha-karaya namah.</p>
    <p><strong>697. Vasu-retāḥ</strong>&nbsp; / &nbsp;a) The Source of Luster. b) He Who shines like gold in the context of creation.<br>c) He Who is the cause or origin of the universe. Om vasu-retase namah.</p>
    <p><strong>698, 699. Vasupradaḥ-Vasupradaḥ</strong> / a) The Giver of Treasure (in the form of Himself). b) The Giver of Glory or Dignity. c) The Bestower of moksham. d) He Who provides the place for dwelling for all beings.<br>Om vasu-pradaya namah.<br><strong>700. Vāsudevaḥ</strong>&nbsp; / a) He Who pervades and sports. b) The Son of vasudeva. c) The presiding Deity of the well-known 12-lettered vasu-deva mantra. d) The Deity Who is adored by His devotees. e) He Who lives in everything and Who keeps them moving around. Om vasudevaya namah.</p>
    <p><strong>701. Vasuḥ</strong>&nbsp; / a) The Dweller (in the hearts of His devotees). b) The Best of wealth that is sought after. c) He Who resides in the Milk-Ocean. d) He Who is in the form of the vasu-s. e) He Who lives in everything and in whom everything lives. f) He Who conceals Himself (from those who are not devoted to Him). g) He Who is the final dwelling place for all. Om vasave namah.&nbsp;<br><strong>702. Vasumanaḥ&nbsp;</strong>/ a) He Who has a Mind which thinks of His devotees as a treasure. b) &nbsp;He Whose mind is always with vasudeva. c) He Who has a golden mind &ndash; pure, without any afflictions. d) He Who has a pure mind (He dwells in every thing without distinction). e) He Who has a mind which is filled with vatsalyam to His devotees. f) He Who has a mind that leads to His removing the difficulties of His devotees. g) He Who has complete knowledge of the type of body and other needs of all beings. h) He Whose mind was with bhishma as he lay in his death-bed of arrows. Om vasu-manase namah.</p>
    <p><strong>703. Haviḥ&nbsp;</strong>/ &nbsp;a) The Sacrificial Offering. b) He Who is satisfied or pleased. Om havishe namah.</p>"
" <p>सद्गतिः सत्कृतिः सत्ता सद्भूतिः सत्परायणः ।<br>शूरसेनो यदुश्रेष्ठः सन्निवासः सुयामुनः ॥ ७५॥</p>","  <p>sadgatiḥ satkṛtiḥ sattā sadbhūtiḥ satparāyaṇaḥ,<br>śūrasenō yaduśreṣṭhaḥ sannivāsaḥ suyāmunaḥ. (75)</p>","  <p><strong>704. Sadgatiḥ&nbsp;</strong>/ &nbsp;a) He Who who provides the right path for the good. b) He Who is Himself the right path for the good. c) He Who has superior intellect. d) He Who is attainable by the good. Om sad-gataye namah.&nbsp;</p>
    <p><strong>705. Satkṛtiḥ&nbsp;</strong>/ He of lovable acts, and full of good actions. Om satkrtaye namah.</p>
    <p><strong>706. Sattā</strong> / Existence Incarnate. Om sattayai namah.</p>
    <p><strong>707. Sad-bhūtiḥ</strong>&nbsp; / a) The wealth, in all forms, for the good. b) He Who is endowed with rich glories (aisvaryam). c) He Who alone truly exists. d) He Who manifests Himself in infinite forms. om sad-bhutaye namah.</p>
    <p><strong>708. Satparāyaṇaḥ&nbsp;</strong>/ a) The Support for the good. b) The supreme Goal for the good. c) He Who has the good people as His support. om satparayanaya namah.</p>
    <p><strong>709. Śūrasenaḥ</strong>&nbsp; / a) He with a valiant army. b) He Who keeps everything that moves around, bound together and functioning as a unit. Om sura-senaya namah.<br><strong>710. Yaduśreṣṭhaḥ</strong>&nbsp; / &nbsp;a) The pre-eminent among the Yadavas. b) He Who is Best among those who strive (for the redemption of the jiva-s). om yadu-sreshthaya namah.</p>
    <p><strong>711. Sannivāsaḥ</strong>&nbsp; / The Abode of the saintly. Om sannivasaya namah.</p>
    <p><strong>712. Suyāmunaḥ&nbsp;</strong>/ a) He with the delightful sport in the Yamuna river. b) He Who is attended by the good Yamunas. c) He Who has beautiful collyrium in His eyes. d) He Who lifts up and protects the jivas during the time of pralaya. Om suyamunaya namah.</p>"
" <p>भूतावासो वासुदेवः सर्वासुनिलयोऽनलः ।<br>दर्पहा दर्पदो दृप्तो दुर्धरोऽथापराजितः ॥ ७६॥</p>","  <p>bhūtāvāsō vāsudevaḥ sarvāsunilayōnalaḥ,<br>darpahā darpadō dṛptō durdharōthāparājitaḥ. (76)</p>","  <p><strong>713. Bhūtāvāsaḥ&nbsp;</strong>/&nbsp;a) He Who is the abode of all creatures. b) He Who dwells in the hearts of His devotees. c) The dwelling place of the Great Elements. Om bhutavasaaya namah.</p>
    <p><strong>714. Vāsudevaḥ. /&nbsp;</strong>Om vasu-devaya namah. [This nama has been covered under nama 700]&nbsp;</p>
    <p><strong>715. Sarvāsunilayaḥ &nbsp;</strong>/ The Abode and support of all souls. Om sarvasunilayaya namah.</p>
    <p><strong>716. Analaḥ&nbsp;</strong>/ a) He Who is never satisfied that He has done enough for His devotees. b) He Who cannot tolerate the offense committed to His devotees. c) He Who receives the prana sakti as His own and functions in the form of the jivatma (Sri Samkara). d) He Who is beyond smell etc. e) He Who is unlimited (in His Glories) (alam &ndash; paryapti &ndash; end). f) He Who is in the form of Fire. g) One Who has no end (alam &ndash; paryapti &ndash; end). h) One Who has no opposition (alam &ndash; opposition). i) He who rejuvenates His devotees who intensely long for Him (an &ndash; pranane ). &nbsp;Om analaya namah.</p>
    <p><strong>717. Darpahā&nbsp;</strong>/ &nbsp;The Destroyer of pride. Om darpaghnaya namah.</p>
    <p><strong>718. Darpadaḥ &nbsp;</strong>/ &nbsp;a) The Bestower of pride (to His devotees). b) The Bestower of beauty and attractiveness in everything. om darpa-daya namah.</p>
    <p><strong>719. Dṛptaḥ &nbsp;</strong>/ &nbsp;a) He Who is not proud Himself. Or driptah. b) He Who is ever happy; c) He Who is proud. Om adrptaya namah.<br><strong>720. Durdharaḥ&nbsp;</strong> / a) He Who is difficult to control (as child Krishna). b) He Who cannot be constrained by the evil-minded (Duryodhana). c) He Who is difficult to be held in concentration (except by those of trained mind). Om durdharaya namah.<br><strong>721. Aparājitaḥ &nbsp;</strong>/ &nbsp;The Invincible. Om aparajitaya namah.</p>"
"   <p>विश्वमूर्तिर्महामूर्तिर्दीप्तमूर्तिरमूर्तिमान् ।<br>अनेकमूर्तिरव्यक्तः शतमूर्तिः शताननः ॥ ७७॥</p>"," <p>viśvamūrtirmahāmūrtirdīptamūrtiramūrtimān,<br>anekamūrtiravyaktaḥ śatamūrtiḥ śatānanaḥ. (77)</p>","  <p><strong>722. Viśvamūrtiḥ</strong>&nbsp; / a) He Who has the Universe as His body. b) He Who has a beautiful Form that finds entry into the mind, eyes, etc., of His devotees. c) He Who has maya sakti in the form of the Universe. d) He Who has a Form that can induce maya in everything. Om visva-murtaye namah.</p>
    <p><strong>723. Mahāmūrtiḥ&nbsp;</strong>/ a) He of Immense form. b) He Who is immensely worthy of worship. Om mahamurtaye namah.</p>
    <p><strong>724. Dīptamūrtiḥ &nbsp;</strong>/ &nbsp;He with a shining form. Om diptamurtaye namah.</p>
    <p><strong>725. Amūrtimān &nbsp;</strong>/ a) He Who has even the subtle and formless things as His possessions. b) He Who Forms that are not the result of karma. c) He Who has a disposition that is not hard, inflexible, etc. d) He Who has Forms that are indescribable, and not fixed. e) He Who takes whatever Forms He pleases as His incarnations, and thus One Who has no fixed forms. Om amurtimate namah.</p>
    <p><strong>726. Anekamūrtiḥ</strong> / He of many forms. Om anekamurtaye namah.</p>
    <p><strong>727. Avyaktaḥ</strong> / &nbsp;He Who is not manifest; He Who cannot be easily realized. Om a-vyaktaya namah.</p>
    <p><strong>728. Śatamūrtiḥ</strong> / He with a hundred forms. Om satamurtaye namah.&nbsp;</p>
    <p><strong>729. Śatānanaḥ&nbsp;</strong>/ a) He Who is many-faced. b) He Who has provided many different means (such as nose, mouth, etc.) for life to be sustained. c) He Who has created various life-forms and provided easy means for their survival. d) He Who is viewed in different &ldquo;faces&rdquo; (in different ways) by different faiths. Om satananaya namah.</p>"
" <p>एको नैकः सवः कः किं यत् तत्पदमनुत्तमम् ।<br>लोकबन्धुर्लोकनाथो माधवो भक्तवत्सलः ॥ ७८॥</p>","   <p>ekō naikaḥ savaḥ kaḥ kiṁ yattatpadamanuttamam,<br>lōkabandhurlōkanāthō mādhavō bhaktavatsalaḥ. (78)</p>","    <p><strong>730. Ekaḥ &ndash;&nbsp;</strong>One Who is Unique and matchless in all respects. om ekaya namah</p>
    <p><strong>731. Naikaḥ-&nbsp;</strong>He Who is not One only. om naikaya namah</p>
    <p><strong>732. Savaḥ &ndash;</strong> a) He Who spreads knowledge. b) He Who is the final authority on all knowledge. c) He Who destroys all obstacles to His devotees. d) He Who is easily accessible, to the point of being pointed out as &ldquo;He&rdquo; by the youngsters of Ayarpadi. e) He Who is of the form the soma sacrifice (when the nAma is taken as savah). &nbsp;f) He Who is the final Knowledge, and Who dwells everywhere (savah). &nbsp;om saya namah</p>
    <p><strong>733. vah &ndash;&nbsp;</strong>The Dweller. om vaya namah</p>
    <p><strong>734. Kaḥ &ndash;&nbsp;</strong>a) He Who shines. b) He Who is invoked or praised through words by devotees. c) He Who is the personification of happiness. d) He Who remains an unanswered Question Mark when approached through &ldquo;intellection&rdquo;. om kaya namah</p>
    <p><strong>735. Kim&nbsp;</strong>&ndash; &nbsp;a) He about Whom all questions are asked by seekers of Truth (such as &ndash; Where is He, What is He, Who is He, etc.). b) He Whose praise is sung by His devotees, c) He Who is fit to be enquired about or sought after. om kime namah</p>
    <p><strong>736. Yat&nbsp;</strong>&ndash;&nbsp;a) He Who takes efforts.&nbsp;b) That Which already exists.&nbsp;c) That from Which everything in this Universe came about. om yate namah</p>
    <p><strong>737. Tat</strong> &ndash; a) He Who increases (the jnanam and bhakti about Him in the devotees). b) He Who increases the kIrti (fame) of His devotees. c) He Who expands the Universe from its subtle form to its visible form. d) He Who is not seen by senses etc. om tate namah</p>
    <p><strong>738. Padamanuttamam&nbsp;</strong>&ndash;&nbsp;a) The Supreme Goal.&nbsp;b) The Unexcelled Protector of His devotees. om padaya anuttamAya namah</p>
    <p><strong>739. Lokabandhuḥ&nbsp;</strong>&ndash;&nbsp;a) The Relative of the World.&nbsp;b) One to Whom everything is bound since He is their Support.&nbsp;c) One to Whom everything is related since He is their Best Friend &ndash; their Father.&nbsp;d) One Who provides instructions as a kinsman on what is right and what is wrong through the SAstra-s.&nbsp;e) One Who limits everything through things such as limited life etc. om loka-bandhave namah</p>
    <p><strong>740. Lokanāthah</strong> &ndash; a) The Protector of the world. b) He Who bestows aisvaryam on all as a result of His unlimited aiSvaryam. c) He Who is sought after or prayed by all. d) He Who shines in the world, or He Who regulates the world by energizing. e) He Who comforts or blesses the world. f) He Who rules over the world. g) He Who gives troubles as needed to those who need to be disciplined. om loka-nathaya namah</p>
    <p><strong>741. Mādhavaḥ</strong> &ndash; The Consort of Lakshmi. a) The Consort of MA or Lakshmi. b) The Bestower or Propounder of Knowledge about Himself. c) One Who is attained through the madhu vidyA. d) One Who is attained through mauna, dhyAna and yoga. e) One Who is born in the race of madhu, a yAdhava. f) The nAma that reveals the eternal relationship of the Mother and Father with the rest of the Universe. g) One for whom there is no Lord above. om madhavaya namah</p>
    <p><strong>742. Bhaktavatsalaḥ&nbsp;</strong>&ndash; a) Affectionate towards the devotees, b) He Who goes to the devotees who makes offerings to Him through yajna, c) He Who takes the devotees to Him, who are dear to Him like a calf to the cow. om bhakta-vatsalaya namah</p>"
" <p>सुवर्णवर्णो हेमाङ्गो वराङ्गश्चन्दनाङ्गदी ।<br>वीरहा विषमः शून्यो घृताशीरचलश्चलः ॥ ७९॥</p>"," <p>suvarṇavarṇō hemāṅgō varāṅgaścandanāṅgadī,<br>vīrahā viṣamaḥ śūnyō ghṛtāśīracalaścalaḥ. (79)</p>","  <p><strong>743. Suvarṇavarṇaḥ&nbsp;</strong>&ndash; The golden-hued. om suvarna-varnaya namah&nbsp;</p>
    <p><strong>744. Hemāṅgaḥ</strong> &ndash; He of golden-hued limbs. om hema&rsquo;ngaya namah</p>
    <p><strong>745. Varāṅgaḥ</strong> &ndash; a) He Who displayed His Divine Form to devaki in response to her prayers. b) He Who has beautiful limbs. c) He Who has a lovable Form that is pleasing to those who meditate on Him. om vara&rsquo;ngaya namah&nbsp;</p>
    <p><strong>746. Candanāṅgadī&nbsp;</strong>&ndash; He Who is adorned with delightful armlets. b) He Who is besmeared with pleasing sandal. c) He Who provides us all with the means and ways to be happy. d) He Who has a&rsquo;ngada as His pleasing devotee. om candana&rsquo;ngadine namah&nbsp;</p>
    <p><strong>747. Vīrahā &ndash;&nbsp;</strong>a) The Slayer of the strong demons. b) The Destroyer of those who indulge in vain arguments and distract others from meditating on Him. c) The Destroyer of the bonds of yama. d) He Who leads the jivas to moksha by showing them the right path. e) He Who provides different ways for His creations to move around. f) He Who is accompanied by Garuda and Vayu when destroying the asura-s. g) He Who ends the various paths that go from birth to birth. om viraghne namah&nbsp;</p>
    <p><strong>748. Viṣamaḥ&nbsp;</strong>&ndash; a) He of unequal (conflicting) acts towards His devotees vs. His enemies. b) He for Whom there is no equal. c) He Who destroyed the effect of the poison that was consumed by rudra during the churning of the Milk Ocean. om vishamaya namah&nbsp;</p>
    <p><strong>749. Śūnyaḥ&nbsp;</strong>&ndash; a) He Who is devoid of defects when He takes births as one of us. b) He Who is without any attributes (advaita interpretation). c) He Who goes everywhere, or is present everywhere. d) He Who cleans out everything at the time of pralaya. e) He Who is not accessible when we seek Him through our senses. om sunyaya namah&nbsp;</p>
    <p><strong>750. Ghṛtāśīḥ</strong> &ndash; a) He Who sprinkles the world with prosperity. b) He Who is desirous of the butter in the gopis&rsquo; houses. c) He from Whom all desires have flown away. d) He Who enjoys the offering of ghee in the homa etc. om ghrtasishe namah&nbsp;</p>
    <p><strong>751. Acalaḥ&nbsp;</strong>&ndash; a) He Who is unshakable against His enemies. b) He Who is immutable in His nature, power, wisdom, etc. c) He Who does not move anywhere, because He is everywhere already. om acalaya namah&nbsp;</p>
    <p><strong>752) Calaḥ&nbsp;</strong>&ndash; a) He Who swerves. b) He Who moves (in the form of vAyu etc.). c) He Who rushed out of SrI vaikunTham at the cry for help from Gajendra. d) He Who is full of leelas. &nbsp;om calaya namah</p>"
" <p>अमानी मानदो मान्यो लोकस्वामी त्रिलोकधृक् ।<br>सुमेधा मेधजो धन्यः सत्यमेधा धराधरः ॥ ८०॥</p>"," <p>amānī mānadō mānyō lōkasvāmī trilōkadhṛt,<br>sumedhā medhajō dhanyaḥ satyamedhā dharādharaḥ. (80)</p>"," <p><strong>753. Amānī&nbsp;</strong>&ndash;&nbsp;a) He Who is not proud.&nbsp;b) He Who does not mistakenly identify things such as the body with Atman.&nbsp;c) He Who is beyond all measure in all respects. Om a-manine namah.</p>
    <p><strong>754. Mānadaḥ&nbsp;</strong>&ndash;&nbsp;a) He Who honors others.&nbsp;b) He Who confers rewards on His devotees, or denies rewards for the unrighteous (Sa&rsquo;nkara).&nbsp;c) He Who removes the false understanding of Atman in true seekers, or induces a false sense of Atman in non-seekers (Sa&rsquo;nkara).&nbsp;d) He Who gives spiritual enlightenment to His devotees.&nbsp;e) He Who gives a measure and dimension to everything in the Universe. Om manadaya namah.</p>
    <p><strong>755. Mānyaḥ&nbsp;</strong>&ndash;&nbsp;The Object of honor. Om manyaya namah.</p>
    <p><strong>756. Lokasvāmī&nbsp;</strong>&ndash;&nbsp;The Master of the Universe. Om loka-svamine namah.</p>
    <p><strong>757. Trilokadhṛt</strong> &ndash; a) He Who supports the three worlds (the worlds above, the worlds below, and earth in the middle). b) The Supporter of the three states of experience (waking, dream and deep sleep). Om tri-loka-dhrte namah.</p>
    <p><strong>758. Sumedhāḥ&nbsp;</strong>&ndash;&nbsp;The Well-Intentioned. Om su-medhase namah.</p>
    <p><strong>759. Medhajaḥ</strong> &ndash; a) He Who was born as a result of a sacrifice. b) He Who is realized as a result of sacrifices. c) He Who makes His presence in the gatherings of bhakta-s. Om medha-jaya namah.</p>
    <p><strong>760. Dhanyaḥ&nbsp;</strong>&ndash;&nbsp;The Blessed. Om dhanyaya namah.</p>
    <p><strong>761. Satyamedhāḥ</strong> &ndash; a) He of true thoughts &ndash; honest, straightforward. b) He of true knowledge &ndash; with foresight and minuteness. c) He of true knowledge &ndash; of the Vedas and their numerous branches. Om satya-medhase namah.</p>
    <p><strong>762. Dharādharaḥ&nbsp;</strong>&ndash; a) He Who supported the Mountain (govardhana). b) He Who supports the earth. Om dharadharaya namah.</p>"
"  <p>तेजोवृषो द्युतिधरः सर्वशस्त्रभृतां वरः ।<br>प्रग्रहो निग्रहो व्यग्रो नैकश&zwj;ृङ्गो गदाग्रजः ॥ ८१॥</p>","  <p>tejōvṛṣō dyutidharaḥ sarvaśastrabhṛtāṁ varaḥ,<br>pragrahō nigrahō vyagrō naikaśṛṅgō gadāgrajaḥ. (81)</p>","   <p><strong>763. Tejōvṛṣaḥ</strong>&ndash;&nbsp;a) He Who showers His splendor on His devotees in the form of His protection.&nbsp;b) He Who showers rain through the sun.&nbsp;c) He Who showers His radiance on everything.&nbsp;d) He Who showers His fierce weapons on His enemies in defense of His&nbsp;devotees. Om tejo-vrshaya namah.</p>
    <p><strong>764. Dyutidharaḥ&nbsp;</strong>&ndash;&nbsp;He Who possessed a majesty. Om dyuti-dharaya namah.</p>
    <p><strong>765. Sarva-śastra-bhṛtāṁ varaḥ&nbsp;</strong>&ndash;&nbsp;The Best among those warriors who are armed with all weapons. Om sarva-sastra-bhrtam-varaya namah.</p>
    <p><strong>766. Pragrahaḥ&nbsp;</strong>&ndash;&nbsp;The Controller. Om prgrahaya namah.</p>
    <p><strong>767. Nigrahaḥ&nbsp;</strong>&ndash; a) The Subduer.&nbsp;b) He Who has a firm control over all creation. Om nigrahaya namah.</p>
    <p><strong>768. Vyagraḥ&nbsp;</strong>&ndash; a) He Who was very enthusiastic (to destroy the enemies of His devotee during the mahAbhArata war).&nbsp;b) He Who has no end.&nbsp;c) He Who moves around in many different ways.&nbsp;d) (a-vyagrah &ndash; He Who is not confused &ndash; dvaita patham).&nbsp;e) He Who uses Garuda as His vehicle. Om vyagraya namah.</p>
    <p><strong>769. Naikaśṛṅgaḥ&nbsp;</strong>&ndash; a) He Who adopted diverse tactics for controlling&nbsp;His devotees&rsquo; enemies.&nbsp;b) He Who can be brought under control (realized) through the four&nbsp;horns in the form of the four veda-s.&nbsp;c) He Who can be controlled (reached) through the Omkara, with its&nbsp;four &ldquo;horns&rdquo; &ndash; akara, ukara, makara, and nada.&nbsp;d) He Who has the four horns in the form of the four Vedas, to&nbsp;control the world through dharma.&nbsp;e) He Who has many dimensions to His Lordship (prabhutvam).&nbsp;f) He Who has many aspects to His role as a Bestower of His devotees&rsquo;&nbsp;wishes.&nbsp;g) (eka-sr&rsquo;ngah &ndash; satya sandha yatiraja) &ndash; He Who took incarnation as&nbsp;the one-horned Varaha.&nbsp;h) He Who has many rays of effulgence radiating from Him.&nbsp;i) He Who has provided diverse means to the different living beings&nbsp;to cause harm to their enemies, as also to defend themselves from their&nbsp;enemies. Om naika-sr&rsquo;ngaya namah.</p>
    <p><strong>770. Gadāgrajaḥ</strong> &ndash; a) The elder brother of gada. b) He Who was born as a result of mantra. c) He Who pervades those who walk and talk (gada + agra + jah). d) The Foremost among those who created sound (in the form of Vedas). e) He Who keeps the brahamana-s healthy (spiritually). Om gadagrajaya namah.</p>"
