Sl#,सुभाषितानि,ಸುಭಾಷಿತಗಳು,"सुभाषितानि hindi",Subhashitani
968.,"<pre>यद्वक्त्रं मुहुरीक्षसॆ न धनिनां ब्रूषॆ न चाटून् मृषा।<br>	नैवां गर्ववच: शृणाषि न च तान् प्रत्याशया धावसि ।<br>कालॆ बालतृणानि खादसि परं निद्रासि निद्रागमॆ।<br>	तन्मॆ ब्रूहि कुरङ्ग कुत्र भवता किं नाम तप्तं तप: ॥</pre>","<pre>ಎಲೈ ಜಿಂಕೆಯೇ, ನೀನು ಶ್ರೀಮಂತರ ಮುಖವನ್ನು ಮತ್ತೆ ಮತ್ತೆ ನೋಡುವುದಿಲ್ಲ, ಅವರೆದುರಿಗೆ ಸುಳ್ಳು ಸುಳ್ಳಾಗಿ ಮುಖಸ್ತುತಿ ಮಾಡುವುದಿಲ್ಲ, ಅವರ ಗರ್ವದ ಮಾತುಗಳನ್ನು ಕೇಳುವುದಿಲ್ಲ, ಆಸೆಯಿಂದ ಅವರ ಬಳಿಗೆ ಓಡುವುದಿಲ್ಲ. ಆದರೂ ಕಾಲಕ್ಕೆ ಸರಿಯಾಗಿ ಎಳೆಯ ಹುಲ್ಲನ್ನು ತಿನ್ನುತ್ತೀಯೆ, ನಿದ್ರೆ ಬಂದಾಗ ಮಲಗುತ್ತೀಯೆ, ಇದು ಹೇಗಾಯಿತು? ಎಲ್ಲಿ ಯಾವ ತಪಸ್ಸನ್ನು ಆಚರಿಸಿದೆ? ನನಗೂ ಹೇಳಿಕೊಡು</pre>","<pre>हे हिरण! तुम बार-बार धनवानों की ओर नहीं देखते, और उन पर झूठी चापलूसी नहीं करते ।<br> न तो आप उनके गर्व भरे भाषण को सुनते हैं, न ही आप लालच से उनकी ओर उम्मीदों के साथ दौड़ते हैं ।<br> आप समय-समय पर कोमल घास पर चरते हैं और नींद आने पर सोते हैं।<br> तो, कृपया मुझे बताएं कि यह कैसे होता है, इस जुनून और संतोष को प्राप्त करने के लिए आपने कौन सी तपस्या की है?					</pre>","O deer! You do not gaze repeatedly upon the rich, and do not shower false flattery on them. Neither do you listen to their proud speech, nor do you run greedily towards them with expectations. You graze upon the tender grass from time to time and sleep when you are drowsy. So, please tell me how this happens, what austerities have you performed to gain this passion and contentment?					"
969.,"<pre>यन्मातापितरौ वृत्तं तनयॆ कुरुत: सदा ।<br>न सप्रतिकरं तत्तु मात्रा पित्रा च यत्कृतम् ॥</pre>","<pre>ತಾಯಿ, ತಂದೆಗಳು ಮಕ್ಕಳನ್ನು ಸಲಹುವುದಕ್ಕಾಗಿ ಎಷ್ಟು ಕಷ್ಟಪಡುತ್ತಾರೆಂಬುದನ್ನು ಗಮನಿಸಿದರೆ, ಯಾವ ಮಗನಿಗೂ ತಾಯಿತಂದೆಗಳ ಉಪಕಾರವನ್ನು ತೀರಿಸಲು ಸಾಧ್ಯವಾಗದು.</pre>","<pre>यदि आप माता-पिता द्वारा अपने बच्चों के लिए किए गए प्रयासों पर विचार करें, तो बच्चे के लिए माता-पिता के त्रुण चुकाने का कोई तरीका नहीं है ।<br></pre>","If you consider the efforts parents put in for their children, then there is no way for the child to ever repay the parent sacrifices."
970.,"<pre>यस्यास्ति सर्वत्र मति: स कस्मात् स्वदॆशरागॆण हि याति नाशम् ।<br>तातस्य कूपॊऽयमिति ब्रुवाणा: क्षारं जलं  कापुरुषा: पिबन्ति ॥</pre>","<pre>ಎಲ್ಲವನ್ನು ತಿಳಿದ ಮೇಧಾವಿಯು ತನ್ನ ಹುಟ್ಟೂರಿನ ಪ್ರೀತಿಯಿಂದ ತನ್ನ ಬುದ್ಧಿವಂತಿಕೆಯ ಸದುಪಯೋಗವನ್ನು ಮಾಡಲಾಗದೆ ಅಲ್ಲೇ ನಾಶವನ್ನು ಹೊಂದುತ್ತಾನೆ. ಹೇಗೆಂದರೆ ನೀಚರು ಅಜ್ಜ ತೋಡಿದ ಬಾವಿ ಎಂದು ಉಪ್ಪು ನೀರನ್ನೇ ಕುಡಿಯುವಂತೆ.</pre>","<pre>जब एक बुद्धिमान व्यक्ति अपने मूल स्थान से अंधाधुंध लगाव दिखाता है, तो वह नष्ट हो जाता है । यह ठीक वैसे ही है जैसे मूर्ख कुएँ का खारा पानी पीते रहते हैं - सिर्फ इसलिए कि दादाजी ने उसे खोदा था ।</pre>","When an intelligent man shows indiscriminate attachment to his native place, he gets destroyed. This is just like fools continuing to drink salt water from the well _ just because the grandfather had dug it."
971.,"<pre>यावत: कुरुतॆ जन्तु: सम्बन्धान् मनस: प्रियान् ।<br>तावन्तॊस्य निखन्यन्ते हृदयॆ शॊकशङ्कव: ॥</pre>","<pre>ಮನುಷ್ಯನು ತನ್ನ ಮನಸ್ಸಿಗೆ ಪ್ರಿಯವಾದ ಸಂಬಂಧಗಳನ್ನು ಹೆಚ್ಚಿಸಿಕೊಂಡಷ್ಟೂ ತನ್ನ ಹೃದಯದಲ್ಲಿದು:ಖದ ಮೊಳೆಗಳನ್ನು ಹೆಚ್ಚಿಸಿಕೊಳ್ಳುತ್ತಾನೆ.</pre>","<pre>जैसे-जैसे व्यक्ति अपनी इच्छित वस्तु के प्रति आसक्त होता है, वह दुःख और पीड़ा के कारणों को भी बढ़ाता है ।<br></pre>","As a person develops attachment to his desired objects, he also increases the reasons for sorrow and pain."
972.,"<pre>यावद्वित्तॊपार्जनसक्त: तावन्निजपरिवारॊ रक्त: ।<br>पश्चाज्जर्जरभूतॆ दॆहॆ वार्तां कॊऽपि न पृच्छति गॆहॆ ॥</pre>","<pre>ಹಣದ ಸಂಪಾದನೆಯಲ್ಲಿ ತೊಡಗಿರುವವರೆಗೂ ಕುಟುಂಬದವರು ಅವನಲ್ಲಿ ಪ್ರೀತಿಯಿಂದಿರುತ್ತಾರೆ. ಆಮೇಲೆ ದೇಹವು ಜೀರ್ಣವಾಗಲೂ ಮನೆಯಲ್ಲಿ ಯಾರೂ ಇವನ ಸುದ್ದಿಯನ್ನೂ ಕೇಳುವುದಿಲ್ಲ.</pre>","<pre>जब तक कोई धन कमाने में लगा रहता है, तब तक परिवार उस पर प्रेम बरसाता है । उसके बाद जब शरीर बूढ़ा और अशक्त हो जाता है तो कोई उसके बारे में बात करने और पूछने तक की जहमत नहीं उठाता ।</pre>","As long as one is engaged in earning money, till then the family showers love on him. After that when the body becomes old and infirm, then nobody even bothers to speak and enquire about him."
973.,"<pre>रविचन्द्रौ घना वृक्षा नदी गावश्च स<ना ।<br>एतॆ परॊपकाराय युगॆ दॆवॆन निर्मिता: ॥</pre>","<pre>ಬೆಳಕನ್ನು ನೀಡುವ ಸೂರ್ಯ-ಚಂದ್ರರು, ಮಳೆಯನ್ನು ಸುರಿಸುವ ಮೋಡಗಳು, ನೆರಳು, ಹೂ-ಹಣ್ಣುಗಳನ್ನು ನೀಡುವ ಗಿಡಮರಗಳನ್ನು, ಜೀವಜಲ ಒದಗಿಸುವ ನದೀ- ನದಗಳನ್ನು, ಹಾಲನ್ನು ನೀಡಿ ಪೋಷಿಸುವ ಗೋ ಸಂಪತ್ತನ್ನು, ಮನುಕುಲದ ಶ್ರೇಯಸ್ಸನ್ನು ಸದಾ ಬಯಸುವ ಸಜ್ಜನರು ಇವರೆಲ್ಲರನ್ನು ಭಗವಂತನು ಜಗತ್ತಿನ ಒಳಿತಿಗಾಗಿ ನಿರ್ಮಿಸಿದ್ದಾನೆ.</pre>","<pre>सूर्य और चन्द्रमा, मेघ, वृक्ष, गाय और महान दयालु पुरुष- ईश्वर ने इन सभी को बनाया है, जो केवल दूसरों के कल्याण के लिए, इस दुनिया के लाभ के लिए हैं ।<br></pre>","The sun and moon, clouds, trees, cows and noble kindhearted men- god has created all of these, which exist only for the welfare of others, for the benefit of this world."
974.,"<pre>वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरॊऽपराणि ।<br>दृशि दॆयमौषधं कॊ दृश्यॆ दत्त्वा सुखी भवति ॥</pre>","<pre>ಮನುಷ್ಯನು ಹಳೆಯ ಬಟ್ಟೆಗಳನ್ನು ತೆಗೆದೊಗೆದು ಬೇರೆ ಹೊಸ ಬಟ್ಟೆಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುವಂತೆ, ಜೀವಾತ್ಮನು ಮುದಿಯಾದ ಶರೀರವನ್ನು ಬಿಟ್ಟು ಬೇರೆ ಹೊಸ ಶರೀರವನ್ನು ಪಡೆಯುತ್ತಾನೆ.</pre>","<pre>जिस प्रकार मनुष्य पुराने वस्त्रों को त्यागकर नये नये वस्त्र धारण करता है, उसी प्रकार आत्मा भी पुराने शरीरों को त्यागकर नया शरीर धारण करती है ।<br></pre>","Just as man discards old worn out garments and wears new fresh clothes, similarly, the soul (Aatma) also casts off old bodies and takes up a new body."
975.,"<pre>विषयाननुकूलयितुं विषयिणि हृदयॆ विधीयतां यत्न: ।<br>दृशि दॆयमौषधं कॊ दृश्यॆ दत्त्वा सुखी भवति ॥</pre>","<pre>ಶಬ್ದಾ ಬಾಹ್ಯವಿಷಯಗಳನ್ನು ನಮಗೆ ಅನುಕೂಲವಾಗಿ ಮಾಡಿಕೊಳ್ಳಬೇಕಾದರೆ ಆ ವಿಷಯಗಳನ್ನು ಗ್ರಹಿಸುವ ಹೃದಯವನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಲು ಯತ್ನಿಸಬೇಕು. ಕಣ್ಣಿಗೆ ಹಾಕುವ ಔಷಧವನ್ನು ಕಣ್ಣಿಗೆ ಕಾಣುವ ಬಾಹ್ಯವಸ್ತುವಿಗೆ ಹಾಕಿದರೆ ಯಾವನು ಸುಖಿಯಾದಾನು?					</pre>","<pre>बाहरी परिस्थितियों और इंद्रियों को अपने पक्ष में करने के लिए, आपको अपनी आंतरिक इंद्रियों और मन को शुद्ध करने का प्रयास करना चाहिए । दृष्टि में सुधार के लिए आंखों में दवा लगाने के बजाय, अगर इसे आसपास की अन्य चीजों पर लगाया जाए, तो अच्छी दृष्टि का आनंद कौन लेगा?					</pre>","In order to make the outer circumstances and senses in your favor, you must try to purify your inner sense and mind. Instead of applying eyedrops into the eyes to improve vision, if it is applied to the other things around, then who will enjoy good vision?					"
976.,"<pre>शब्द: स्पर्शश्च रूपं च रसॊ गन्धश्च पञ्चम: ।<br>एकैकमलमॆतॆषां विनाशप्रतिपत्तयॆ ॥</pre>","<pre>ಶಬ್ದ, ಸ್ಪರ್ಶ, ರೂಪ, ರಸ ಮತ್ತು ಗಂಧ ಇವುಗಳಲ್ಲಿ ಒಂದೊಂದೇ ಪೂರ್ಣ ವಿನಾಶವನ್ನೊದಗಿಸಲು ಸಾಕು.</pre>","<pre>शब्द, स्पर्श, रूप, रस और गंध, इन पांचों में से प्रत्येक एक को बर्बाद करने के लिए पर्याप्त है ।<br></pre>","Sound, touch, form, taste and smell, each one of these five are sufficient to lead one to ruin."
977.,"<pre>शमार्थं सर्वशास्त्राणि विहितानि मनीषिभि: ।<br>स एव सर्वशास्त्रज्ञ: यस्य शान्तं मन: सदा ॥</pre>","<pre>ಸಕಲಶಾಸ್ತ್ರಗಳನ್ನೂ ವಿದ್ವಾಂಸರು ರಚಿಸಿರುವುದು ಮನ:ಶಾಂತಿ ಲಭಿಸಲೆಂದು. ಯಾರ ಮನಸ್ಸು ಶಾಂತವಾಗಿದೆಯೋ ಅವನೇ ಸರ್ವಶಾಸ್ತ್ರಜ್ಞ.</pre>","<pre>विद्वानों ने सभी प्रकार के शास्त्र मन की शान्ति के लिए तैयार किए हैं । किसके मन शान्त चिन्त में हैं वही सर्वशास्त्रज्ञ हैं ।</pre>","All scriptures are created to ensure peace for men. He can be called an expert , whose mind is always calm and peaceful."
978.,"<pre>शिशौ प्रविशत: प्राय: प्रतिवॆशिगुणागुणौ ।<br>गन्धॊन्यसन्निधॆरॆव सन्क्रामति समीरणॆ ॥</pre>","<pre>ಮಗುವಿನಲ್ಲಿ ನೆರೆಮನೆಯವರ ಸದ್ಗುಣಗಳೂ ದುರ್ಗುಣಗಳೂ ಸಾಮಾನ್ಯವಾಗಿ ಸೇರಿಕೊಳ್ಳುತ್ತವೆ. ಹೇಗೆಂದರೆ ಗಾಳಿಯಲ್ಲಿ ಇನ್ನೊಂದು ವಸ್ತುವಿನ ವಾಸನೆ ಸೇರಿಕೊಳ್ಳುವಂತೆ.</pre>","<pre>पड़ोस के अच्छे-बुरे गुण बच्चे को उसी प्रकार आत्मसात कर लेते हैं, जैसे बहती हवा में अच्छी-बुरी गंध मिल जाती है ।<br></pre>","The good and bad qualities of the neighbourhood are absorbed by the child, just as good and bad odours get mixed with the blowing wind."
979.,"<pre>सर्वस्य हि परीक्ष्यन्तॆ स्वभावा नॆतरॆ गुणा: ।<br>अतीत्य हि गुणान्सर्वान् स्वभावॊ मूर्ध्नि वर्ततॆ ॥</pre>","<pre>ಮನುಷ್ಯರ ಸ್ವಭಾವವನ್ನು ಪರೀಕ್ಷಿಸುತ್ತಾರೆ, ಇತರ ಗುಣಗಳನ್ನಲ್ಲ. ಏಕೆಂದರೆ ಎಲ್ಲ ಗುಣಗಳನ್ನೂ ಮೀರಿಸಿ ಸ್ವಭಾವವು ಎಲ್ಲಕ್ಕೂ ಮೇಲಿರುತ್ತದೆ.</pre>","<pre>मनुष्य के स्वभाव की हमेशा जाँच और परीक्षण किया जाता है, किसी अन्य लक्षण की नहीं; क्योंकि इंसान का स्वभाव हमेशा उसके व्यवहार को तय करता है ।<br></pre>","A man's nature is always examined and tested, not any other traits; because a person's nature decides his behavior always."
980.,"<pre>साहित्यविद्याहीनानां सर्वशास्त्रविदामपि ।<br>समाजं परिपश्यन्ति समजं बुद्धिशालिन:॥</pre>","<pre>ಸರ್ವಶಾಸ್ತ್ರಗಳನ್ನು ಬಲ್ಲವರಾದರೂ ಸಾಹಿತ್ಯಜ್ಞಾನವಿಲ್ಲದಿದ್ದರೆ ಅವರ ಸಮಾಜವನ್ನು ಪಶುಗಳ ಸಮುದಾಯ ಎಂದು ಬುದ್ಧಿಶಾಲಿಗಳು ತಿಳಿಯುತ್ತಾರೆ.</pre>","<pre>एक समाज अर्थात् साहित्य विहीन संस्कृति, भले ही सभी विद्वानों के ग्रंथों में पारंगत हों, जानवरों के झुंड के समान अच्छा है, यह बुद्धिमानों की राय है ।<br></pre>","A society i.e culture without literature, even if all are well versed in the scholarly texts, is as good as a herd of beasts, this is the opinion of the wise."
981.,"<pre>सुखं न कृषितॊऽन्यत्र यदि धर्मॆण वर्ततॆ ।<br>अवस्त्रत्वं निरन्नत्वं कृषितॊ नैव जायतॆ ॥</pre>","<pre>ಬೇಸಾಯ ಬಿಟ್ಟರೆ ಸುಖವಿಲ್ಲ. ಧರ್ಮದಿಂದ ನಡೆದುಕೊಂಡಲ್ಲಿ ಬೇಸಾಯ ಮಾಡುವವನಿಗೆ ಎಂದೂ ಅನ್ನ-ಬಟ್ಟೆಗೆ ಕೊರತೆ ಇರುವುದಿಲ್ಲ.</pre>","<pre>कृषि के बिना आराम नहीं है । यदि कोई किसान लगन से काम करता है और सही व्यवहार करता है तो वह कभी भी भोजन या कपड़े के बिना नहीं जाएगा ।</pre>","There is no comfort without agriculture. If a farmer works diligently and behaves righteously he will never go without food or clothes."
982.,"<pre>सुखं हि दु:खान्यनुभूय शॊभतॆ घनान्धकारष्विव दीपदर्शनम् ।<br />सुखात्तु यॊ याति दशां दरिद्रतां धृत: शरीरॆण मृत: स जीवति ॥</pre>","<pre>ಸುಖದ ಅನುಭವ ದು:ಖವನ್ನು ಅನುಭವಿಸಿದ ನಂತರವೇ ಆಹ್ಲಾದಕರವಾಗಿರುತ್ತದೆ. ಹೇಗೆಂದರೆ ದಟ್ಟವಾದ ಕತ್ತಲೆಯಲ್ಲಿ ದೀಪ ಉರಿಸಿದ ಹಾಗೆ. ಒಂದು ವೇಳೆ ಮೊದಲು ಸುಖದ ಸುಪತ್ತಿಗೆಯಲ್ಲಿ ಆನಂದವನ್ನು ಅನುಭವಿಸಿ ಆಮೇಲೆ ದಾರಿದ್ರ್ಯದ ದೆಶೆಗೆ ಸಿಲುಕಿದರೆ ಅಂಥಹವನು ಬದುಕಿದ್ದರೂ ಸತ್ತಂತೆಯೇ ಸರಿ.</pre>","<pre>सुख दुख का अनुभव करने के बाद ही सबसे अच्छा लगता है, जैसे घोर अँधेरे में दीया जलाना। लेकिन अगर किसी व्यक्ति को धन का भोग कर गरीबी से गुजरना पड़ता है, तो वह मृत के समान ही अच्छा है, भले ही वह अपने भौतिक शरीर में रहता हो ।</pre>","Happiness is savored best only after experiencing sorrow, like lighting a lamp in pitch darkness.  But if a person has to undergo poverty after enjoying wealth, then he is as good as dead even if he still lives in his physical body."
983.,"<pre>सुमहान्त्यपि शास्त्राणि धारयन्तॊ बहुश्रुता: ।<br>छॆत्तार: संशयानां च क्लिश्यन्तॆ लॊभमॊहिता: ॥</pre>","<pre>ಕಠಿಣತಮದಾದ ಶಾಸ್ತ್ರಗಳ ಜ್ಞಾನವನ್ನು ಹೊಂದಿರುವವರೂ, ಬಹಳ ವಿಚಾರಗಳನ್ನು ಕೇಳಿ ತಿಳಿದುಕೊಂಡವರೂ, ಇತರರ ಸಂಶಯಗಳನ್ನು ಹೋಗಲಾಡಿಸುವವರೂ ಸಹ ಲೋಭದ ಮೋಹಕ್ಕೊಳಗಾಗಿ ಕಷ್ಟಪಡುತ್ತಾರೆ.</pre>","<pre>कठिन ग्रंथों का अध्ययन करने वाले विद्वान, कई दर्शनों पर चर्चा करने और समझने वाले विद्वान दार्शनिक और दूसरों के संदेहों को दूर करने वाले शिक्षित विद्वान- ये सभी लोग लालच में पड़ने पर पीड़ित होते हैं ।<br></pre>","The learned scholar who has studied difficult treatises, the erudite philosopher who has discussed and understood several philosophies and the educated scholar who clears other's doubts- all of these people suffer when they fall to greed."
984.,"<pre>सॆवॆव मानमखिलं ज्यॊत्स्नेव तमॊ जरॆव लावण्यम् ।<br>हरिहरकथॆव दुरितं गुणशतमप्यर्थिता हरति ॥</pre>","<pre>ಮರ್ಯಾದೆಯನ್ನೆಲ್ಲಾ ಊಳಿಗವು ಕಳೆಯುವಂತೆ, ಬೆಳದಿಂಗಲು ಕತ್ತಲೆಯನ್ನು ಹೋಗಲಾಡಿಸುವಂತೆ, ಮುಪ್ಪು ಸೌಂದರ್ಯವನ್ನು ಕೆಡಿಸುವಂತೆ, ವಿಷ್ಣು, ಶಿವ ಇವರ ಕಥೆ ಪಾಪವನ್ನು ಕಳೆಯುವಂತೆ ಯಾಚನೆ ನೂರಾರು ಗುಣಗಳನ್ನು ಅಪಹರಿಸಿಬಿಡುತ್ತದೆ.</pre>","<pre>जिस प्रकार सेवा अभिमान को नष्ट करती है, चाँदनी अंधकार को दूर करती है, बुढ़ापा यौवन को चुरा लेता है, शिव और विष्णु की महिमा सुनने से पापों का नाश होता है, वैसे ही विनती / याचना करने से सौ गुणों का नाश होता है ।<br></pre>","Just as service destroys pride, moonlight dispels darkness, old age steals away youth, listening to the glory of Shiva and Vishnu destroys sins, so also, pleading/soliciting destroys a hundred virtues."
985.,"<pre>संतॊषार्थं विमृशति मुहु: सद्धिरध्यात्मविद्यां नित्यं ब्रूतॆ निशमयति च स्वादुसुव्याहृतानि ।<br />अङ्गीकुर्वन्ननघललितां वृत्तिमादॆहपातात् दृष्टादृष्टस्वभरविगमॆ दत्तदृष्टि: प्रसन्न: ॥</pre>","<pre>ದೇವರಲ್ಲಿ ಮರೆಹೊಕ್ಕ ಭಕ್ತನು ಸಂತೋಷಕ್ಕಾಗಿ ಪಂಡಿತರೊಡನೆ ಅಧ್ಯಾತ್ಮ ವಿದ್ಯೆಯನ್ನು ಕುರಿತು ಚರ್ಚಿಸುತ್ತಾನೆ. ಒಳ್ಳೆಯ ಮಾತುಗಳನ್ನು ಹೇಳುತ್ತಾನೆ. ಮತ್ತು ಕೇಳುತ್ತಾನೆ. ಈ ಲೋಕದ ಅಥವಾ ಇತರ ಲೋಕದ ಸುಖಗಳಲ್ಲಿ ಆಸೆಪಡದೆ ಸಾಯುವವರೆಗೆ ಪಾಪಕರವಲ್ಲದ, ಭಗವದಾರಾಧನ ರೂಪವಾದ ಕೆಲಸಗಳನ್ನು ಮಾಡುತ್ತಾನೆ.</pre>","<pre>आकांक्षी सच्चा भक्त आनंद के लिए, विद्वानों के साथ आध्यात्मिक मामलों पर चर्चा करता है, और अच्छे विचारों को बोलता और सुनता है । सांसारिक या अन्य सांसारिक वस्तुओं की इच्छा किए बिना, वह अपनी मृत्यु तक शुद्ध, पूजनीय कर्मों में संलग्न रहता है ।</pre>","The aspiring true devotee, for the sake of joy, discusses spiritual matters with the scholars, and speaks and listens to noble thoughts. Without desiring worldly or other worldly objects, he engages in pure, worshipful deeds unto his death."
986.,"<pre>सन्तुष्टॊ भार्यया भर्ता भर्त्रा भार्या तथैव च ।<br>यस्मिन्नॆव कुलॆ नित्यं कल्याणं तत्र वै ध्रुवम् ॥</pre>","<pre>ಯಾವ ಕುಟುಂಬದಲ್ಲಿ ಗಂಡನಿಂದ ಹೆಂಡತಿಯೂ, ಹೆಂಡತಿಯಿಂದ ಗಂಡನೂ ತೃಪ್ತರಾಗಿ ಆನಂದವನ್ನು ಪಡೆಯುತ್ತಾರೆಯೋ, ಅಲ್ಲಿ ಯಾವಾಗಲೂ ಮಂಗಳವುಂಟಾಗುತ್ತದೆ.</pre>","<pre>जिस परिवार में पति अपनी पत्नी से संतुष्ट और खुश रहता है, और पत्नी अपने पति के साथ खुश रहती है, वहाँ सदा के लिए शुभता का वास होता है ।<br></pre>","The family in which the husband is content and happy with his wife, and the wife is happy with her husband, auspiciousness resides permanently there."
987.,"<pre>संहति: श्रॆयसी पुम्सां स्वकुलैरल्पकैरपि ।<br>तुषॆणापि परित्यक्र: तण्डुलॊ न पुरॊहति ॥</pre>","<pre>ಅಲ್ಪರೇ ಆಗಿದ್ದಾಗ್ಯೂ ತನ್ನ ಕುಲದವರೊಡನೆ ಕೂಡಿಕೊಂಡಿರುವುದು ಮನುಷ್ಯನಿಗೆ ಶ್ರೇಯಸ್ಸಿಗೆ ಕಾರಣ. ಹೊಟ್ಟಿನಿಂದ ಬಿಡಲ್ಪಟ್ಟ ಭತ್ತ ಮೊಳೆಯುವುದಿಲ್ಲ.</pre>","<pre>कितना भी नीच क्यों न हो, अपने कुल और परिवार से जुड़े रहना हमेशा बेहतर होता है। भूसी को ढके बिना चावल का दाना अंकुरित नहीं हो सकता ।</pre>","However lowly, it is always better to be connected to your clan and family. The grain of rice cannot germinate without the covering of husk."
988.,"<pre>स्मरन्ति सुकृतान्यॆव न वैराणि कृतान्यपि ।<br>सन्त: परार्थं कुर्वाणा नावॆक्षन्तॆ प्रतिक्रियाम् ॥</pre>","<pre>ಸಜ್ಜನರು ಒಳ್ಳೆಯದನ್ನು ಮಾತ್ರ ಸ್ಮರಿಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಕೆಟ್ಟದ್ದನ್ನು ಮಾಡಿದ್ದರೂ ನೆನಪಿಗೆ ತಂದುಕೊಳ್ಳುವುದಿಲ್ಲ. ಅವರು ಪರೋಪಕಾರಕ್ಕಾಗಿ ಕೆಲಸ ಮಾಡುವರೇ ಹೊರತು, ಪ್ರತ್ಯುಪಕಾರವನ್ನು ಬಯಸುವುದಿಲ್ಲ.</pre>","<pre>महान व्यक्ति हमेशा केवल अच्छे को याद करते हैं, न कि दुश्मनों द्वारा उनके साथ किए गए बुरे को । वे दूसरों के कल्याण के लिए काम करते हैं, और अपने प्रयासों और अच्छे कामों के बदले में कुछ भी उम्मीद नहीं करते हैं ।</pre>","The noble persons always remember only the good, and not the bad done to them by the enemies. They work for the welfare of others, and do not expect anything in return for their efforts and good deeds."
989.,"<pre>स्वभावॊ नॊपदॆशॆन शक्यतॆ कर्तुमन्यथा ।<br>सुतप्तमपि पानीयं पुनर्गच्छति शीतताम् ॥</pre>","<pre>ಉಪದೇಶಮಾಡುವುದರಿಂದ ಒಬ್ಬನ ಸ್ವಭಾವವನ್ನು ಬದಲಾಯಿಸುವುದು ಸಾದ್ಯವಿಲ್ಲ. ಯಾಕೆಂದರೆ ನೀರನ್ನು ಚೆನ್ನಾಗಿ ಕುದಿಸಿದರೂ ಮತ್ತೆ ಅದು ತಣ್ಣಗೆ ಆಗುತ್ತದೆ.</pre>","<pre>आप किसी व्यक्ति के स्वभाव को सलाह और व्याख्यान के माध्यम से उबालने के बाद भी नहीं बदल सकते, जैसे पानी उबालने के बाद फ़िर ठंडा हो जाता हें ।<br></pre>","You cannot change a person's nature through advice and lectures even after boiling, water again cools down to room temperature."
990.,"<pre>स्वाधीनं समतिक्रम्य मातरं पितरं गुरुं ।<br>अस्वाधीनं कथं दैवं प्रकारैरभिराध्यतॆ ॥</pre>","<pre>ತಾಯಿ, ತಂದೆ, ಗುರು - ಈ ಮೂವರು ಪ್ರತ್ಯಕ್ಷವಾಗಿರುವ ದೇವರು. ಇವರನ್ನು ಉಲ್ಲಂಘಿಸಿ ಕಣ್ಣಿಗೆ ಕಾಣದ ದೇವರನ್ನು ಆರಾಧಿಸುವ ಪ್ರಕಾರವಾದರೂ ಯಾವುದು?					</pre>","<pre>माता, पिता, गुरु - ये प्रत्यक्ष देवता हैं। इन पर ध्यान न देकर आप किसी अदृश्य देवता की पूजा कैसे कर सकते हैं ।</pre>","Mother, father, Guru _ these are the visible Gods. Ignoring these, how can you worship any invisible gods."
991.,"<pre>हरणं च परस्वानां परदाराभिमर्शनम् ।<br>सुहृदश्च परित्याग: त्रयॊ दॊषा: क्षयावहा: ॥</pre>","<pre>ಅನ್ಯರ ಸ್ವತ್ತನ್ನು ಅಪಹರಿಸುವುದು, ಅನ್ಯರ ಪತ್ನಿಯರೊಂದಿಗೆ ಅಭಿಚಾರ ಎಸಗುವುದು, ಪ್ರಾಣಸ್ನೇಹಿತರನ್ನು ತ್ಯಜಿಸಿ ಬಿಡುವುದು ಈ ಮೂರು ನಮ್ಮ ಎಲ್ಲ ಸಂಪತ್ತುಗಳನ್ನು ಕ್ಷಯಗೊಳಿಸುವ ಮಹಾದೋಷಗಳಾಗಿವೆ.</pre>","<pre>दूसरों की संपत्ति चुराना, किसी की पत्नी का लालच करना, सच्चे मित्रों को त्यागना- ये तीन त्रुटियाँ आपके धन को नष्ट करता हैं ।<br></pre>","Stealing others property, coveting another's wife, discarding genuine friends- these three errors are certain to erode your wealth."
