samhita-adhyaya,"Slokas (Verses)",dummy1,dummy2
025-53,"<p>11. O excellent sage, thus Aniruddha strengthened by Śiva&rsquo;s splendour, with eyes turned red by anger, killed all the ten thousand men of the army.</p>",,
025-53,"<p>12-14. With the sword captured in the course of the battle he killed ten thousands of horses and charioteers of the lord of Daityas. When a hundred thousand soldiers had been killed, the Asura Bāṇa furiously entered the fray taking with him Kumbhāṇḍa, expert in war. He then challenged Aniruddha for a duel in the course of that war&mdash;Aniruddha the highly intelligent son of Pradyumna, of refulgent body and protected by Śiva&rsquo;s brilliance.</p>",,
025-53,"<p>15. Aniruddha then seized a spear blazing like the fire of death, for killing him and hit him with that.</p>",,
025-53,"<p>16. Bāṇa was hit with the spear even as he was seated in a chariot. In a trice the heroic demon vanished along with his horse.</p>",,
025-53,"<p>17. When he vanished, Aniruddha, the unvanquished son of Pradyumna, stood steady like a mountain observing all the quarters.</p>",,
025-53,"<p>18. Remaining invisible, that Dānava Bāṇa, practising deceptive fight, hit him again and again with thousands of weapons.</p>",,
025-53,"<p>19. That powerful son of Bali, the heroic devotee of Śiva, the Asura Bāṇa deceitfully bound him with Serpent-nooses.</p>",,
025-53,"<p>20. After binding him and putting him in a cage he stopped the battle. The infuriated Bāṇa then spoke to the very powerful son of the charioteer.</p>",,
025-53,"<h2><em>The Asura Bāṇa said</em>:&mdash;</h2>",,
025-53,"<p>21. O son of the charioteer, cut off the head of this wicked fellow who has defiled my family.</p>",,
025-53,"<p>22. After chopping off the limbs, give them to the Rākṣasas. Or let the beasts of prey swallow his flesh and blood.</p>",,
025-53,"<p>23. Or kill this sinner and put him in a grassy well. O son of the charioteer, what more shall I say? By all means he must be slain.</p>",,
025-53,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-53,"<p>24. On hearing his words, the Asura Kumbhāṇḍa, the most excellent of the ministers and righteous in thought, spoke to Bāṇa.</p>",,
025-53,"<h2><em>Kumbhāṇḍa said</em>:&mdash;</h2>",,
025-53,"<p>25. O lord, this is not a proper thing to do. Please consider. I think by killing him we will be killing ourselves.</p>",,
025-53,"<p>26. O lord, he seems to be equal to Viṣṇu in exploits. His strength has been increased by the brilliance of the moon-crested lord, your favourite.</p>",,
025-53,"<p>27. Moreover, in daring he is equal to the moon-crested lord; though he is reduced to this plight he maintains his manliness.</p>",,
025-53,"<p>28. It is by the grace of Śiva that he, the grandson of Kṛṣṇa, considers us insignificant as the blades of grass. Although he is bitten by serpents cruelly he is still very strong.</p>",,
025-53,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-53,"<p>29. After saying thus to Bāṇa, the Dānava, the most excellent among statesmen, spoke to Aniruddha.</p>",,
025-53,"<h2><em>Kumbhāṇḍa said</em>:&mdash;</h2>",,
025-53,"<p>30. &ldquo;O hero, who are you? Whose son are you? Tell us the truth. O meanest of men, of evil conduct, by whom have you been brought here?</p>",,
025-53,"<p>31. Repeat piteously &lsquo;I am vanquished&rsquo;. Eulogise the heroic lord of the Daityas. Join your palms in reverence and bow to him.</p>",,
025-53,"<p>32. If you do like this, you may get release. Otherwise this captivity and tortures will continue&rdquo;. On hearing this Aniruddha replied.</p>",,
025-53,"<h2><em>Aniruddha said</em>:&mdash;</h2>",,
025-53,"<p>33. O friend of the basest of Daityas, O you that sustain yourself with the balls of rice offered in the hands, O demon of evil conduct, you do not know the laws of adversaries.</p>",,
025-53,"<p>34. I think that for the valorous person humble supplications and running away from the battlefield are worse than death. These are adverse and painful to him like a dart.</p>",,
025-53,"<p>35. For a Kṣatriya, death while fighting face to face with the enemy is commendable rather than joining the palms in reverence like a man in humble condition professing to be valorous.</p>",,
025-53,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-53,"<p>36. These and many other heroic words he uttered, on hearing which Bāṇa was surprised and angry too.</p>",,
025-53,"<p>37. Then a celestial voice was heard for the pacification of Bāṇa which all the heroes, Aniruddha and the minister, stood listening to.</p>",,
025-53,"<h2><em>The celestial voice said</em>:&mdash;</h2>",,
025-53,"<p>38. &ldquo;O Bāṇa, O great hero, you shall not be angry. &ldquo;O devotee of Śiva, O intelligent one, you are the son of Bali. Ponder over this.</p>",,
025-53,"<p>39. Śiva, the lord of all, the supreme lord, is the witness of all activities. This entire universe including the mobile and immobile beings is subservient to him.</p>",,
025-53,"<p>40. He alone is the creator, maintainer and the destroyer of the worlds, always taking up the attributes of Rajas, Sattva and Tamas in the form of Brahmā, Viṣṇu and Śiva.</p>",,
025-53,"<p>41. The lord is omnipresent. He is the inducer, greater than all. He is free from aberrations, unchanging, eternal, the lord of illusion and devoid of attributes.</p>",,
025-53,"<p>42. Even a weak person becomes strong, thanks to his will, O excellent son of Bali. O intelligent one, realise this in your mind, be normal and complacent.</p>",,
025-53,"<p>43. The lord who quells pride, who is an expert in various sports and who is favourably disposed to his devotees will destroy your arrogance.&rdquo;</p>",,
025-53,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-53,"<p>44. O great sage, having spoken thus, the celestial voice stopped. On hearing these words the Asura Bāṇa did not kill Aniruddha.</p>",,
025-53,"<p>45. Then he went to his harem and drank excellent beverages. His intellect was adversely affected, he forgot those words and began to sport.</p>",,
025-53,"<p>46. Aniruddha was bound by serpentine bodies emitting poison powerfully. His passion for his beloved had not been satiated fully. He remembered Durgā then.</p>",,
025-53,"<h2><em>Aniruddha said</em>:&mdash;</h2>",,
025-53,"<p>47. O goddess, you are worthy of being resorted to. I have been bound by serpents. O goddess bestowing fame, O goddess of fierce fury, come and save me.</p>",,
025-53,"<p>48. O great goddess, devotee of Śiva, O cause of creation, sustenance and dissolution, there is no other saviour except you. O Śivā, save me.</p>",,
025-53,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-53,"<p>49. Propitiated by him, Kālī, lustrous like the split collyrium, arrived there in the dark night of the fourteenth day in the dark half of the month Jyeṣṭha.</p>",,
025-53,"<p>50-51. With the heavy blows of her fists she broke the cage. She reduced the serpentine arrows to ashes. She released Aniruddha and let him enter the harem and then vanished from the scene.</p>",,
025-53,"<p>52. O great sage, thus, thanks to the grace of the goddess&mdash;the Energy of Śiva, Aniruddha got rid of the difficulty, became free from pain and obtained happiness.</p>",,
025-53,"<p>53. Securing success by means of Śiva&rsquo;s Energy, Aniruddha the son of Pradyumna gained access to his beloved, the daughter of Bāṇa and rejoiced.</p>",,
025-53,"<p>54. In the company of his beloved&mdash;the daughter of Bāṇa, he carried on dalliance and was happy drinking the beverages till his eyes became red.</p>",,
025-54,"<h1>Chapter 54 - The fight among Bāṇa, Śiva, Kṛṣṇa and others</h1>",,
025-54,"<h2><em>Vyāsa said</em>:&mdash;</h2>",,
025-54,"<p>1. O excellent sage, when Aniruddha the grandson of Kṛṣṇa was abducted by the daughter of Kumbhāṇḍa what did Kṛṣṇa do? Please narrate it to me.</p>",,
025-54,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-54,"<p>2. O excellent sage, on hearing the woeful cries of his women when Aniruddha had gone off suddenly, Kṛṣṇa too became vexed.</p>",,
025-54,"<p>3. The four months of the rainy season thus went by when his relatives and Viṣṇu could not see Aniruddha and so they bewailed.</p>",,
025-54,"<p>4. On hearing from Nārada about the imprisonment and activities of Aniruddha the Vṛṣṇis, followers of Kṛṣṇa, became dejected.</p>",,
025-54,"<p>5. On hearing everything, Kṛṣṇa immediately called Garuḍa and went to the city of Śoṇita eagerly for fighting.</p>",,
025-54,"<p>6. Pradyumna, Yuyudhāna, Sāmba, Sāraṇa, Nanda, Upananda, Bhadra and others following Rāma and Kṛṣṇa went there.</p>",,
025-54,"<p>7. They were accompanied by twelve Akṣauhiṇīs. They, the chief of Sātvatas laid a siege all round the city of Bāṇa.</p>",,
025-54,"<p>8. On seeing the parks, fortresses, ceilings and minarets of the city thus broken, Bāṇa became infuriated and set forth with an equal number of armies.</p>",,
025-54,"<p>9. In order to help Bāṇa, lord Rudra accompanied by his son and the Pramathas rode on the bull Nandin and arrived there to fight.</p>",,
025-54,"<p>10. A tumultuous fight, wonderfully causing horripilation ensued between Kṛṣṇa and his followers on the one hand and the supporters of Bāṇa, Rudra etc. on the other.</p>",,
025-54,"<p>11. The fight was between Kṛṣṇa and Śiva; Pradyumna and Kārttikeya; Kumbhāṇḍaka and Kūpakarṇa, Bala and Saṃyuga.</p>",,
025-54,"<p>12. Sāmba fought with Bāṇa&rsquo;s son; Sātyaki with Bāṇa; Garuḍa with Nandin and groups of one side fought with the groups of the other.</p>",,
025-54,"<p>13. Brahmā and other gods, sages, Siddhas, Cāraṇas, Gandharvas and celestial damsels came there in aerial chariots to witness the affray.</p>",,
025-54,"<p>14. O best of brahmins, a terrible fight ensued between the members of the Yadu family with the groups of Pramathas ending with &ldquo;Revatīs&rdquo;.</p>",,
025-54,"<p>15. Kṛṣṇa, his brother Rāma and the intelligent Pradyumna, fought an unequalled fight with the Pramathas.</p>",,
025-54,"<p>16-17. The fight continued with Agni, Yama, Varuṇa, Vimukha, Tripāda, Jvara and Kārttikeya and groups of Pramathas with the Vṛṣṇis. It was terrible and frightful causing horripilation.</p>",,
025-54,"<p>18. There was fight with the shameless women too, several groups of terrifying Koṭarīs at every step, not far from one another.</p>",,
025-54,"<p>19. Kṛṣṇa routed the Bhūtas, Pramathas and Guhyakas, the followers of Śiva with sharp-pointed arrows discharged from his bow.</p>",,
025-54,"<p>20. The heroes Pradyumna and others jubilant over the war destroyed the armies of the enemies and fought terribly.</p>",,
025-54,"<p>21. On seeing his army being scattered, Śiva became highly infuriated and roared terribly.</p>",,
025-54,"<p>22. On hearing that, Śiva&rsquo;s Gaṇas too shouted and fought. They suppressed the opponents with their strength increased by Śiva&rsquo;s brilliance.</p>",,
025-54,"<p>23. Kṛṣṇa discharged separate types of missiles from his bow towards the trident-bearing lord Śiva who without showing any dismay quelled them directly.</p>",,
025-54,"<p>24. They discharged Brahmā-missile in counter to Brahmā missile; the mountain-missile to the wind-missile; the cloud-missile to the fire-missile and Śiva-missile to the Nārāyaṇa missile.</p>",,
025-54,"<p>25. Defeated by the opponents, the army of Kṛṣṇa fled, O Vyāsa; it could not face the full refulgence of Śiva.</p>",,
025-54,"<p>26. O sage, when his army was routed, lord Kṛṣṇa, the scorcher of enemies, discharged terrible fever missile named &lsquo;cold&rsquo;.</p>",,
025-54,"<p>27. O sage, when the army of Kṛṣṇa was routed, the cold fever missile of Kṛṣṇa rushed at Rudra blazing the ten quarters.</p>",,
025-54,"<p>28. On seeing that coming, lord Śiva discharged his own fever missile. The two fever missiles fought each other.</p>",,
025-54,"<p>29. Oppressed by the fever missile of lord Śiva, the fever missile of Śiva cried aloud. Unable to secure succour elsewhere, it eulogised the bull-bannered lord.</p>",,
025-54,"<p>30. The delighted lord Śiva, favourably disposed to those who seek refuge, eulogised by Viṣṇu&rsquo;s fever missile, spoke to the cold fever missile of Viṣṇu.</p>",,
025-54,"<h2><em>Lord Śiva said</em>:&mdash;</h2>",,
025-54,"<p>31. &ldquo;O cold fever, I am delighted. Leave off your fear from my fever. There is no fear from fever to him who remembers this anecdote.</p>",,
025-54,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-54,"<p>32. Thus advised, the fever missile of Viṣṇu went away after bowing to Śiva. On seeing that activity, Kṛṣṇa was surprised and dismayed.</p>",,
025-54,"<p>33. When attacked by the arrows of Pradyumna, the infuriated Kārttikeya, the slayer of Daityas, hit Pradyumna with his spear.</p>",,
025-54,"<p>34. When hit by Kārttikeya&rsquo;s spear, Pradyumna, though very strong, shed blood from his limbs and fled from the battle ground.</p>",,
025-54,"<p>35. Hit with various missiles by Kumbhāṇḍa and Kūpakarṇa, Balabhadra though strong did not stay there. He fled from the battle-field.</p>",,
025-54,"<p>36. Garuḍa, took up a thousand bodies and drank up the water from the great sea. He then began to work havoc by showering the sea-waters through Āvarta clouds.</p>",,
025-54,"<p>37. Then the infuriated bull, the powerful vehicle of lord Śiva, hit him with great force by means of his horns.</p>",,
025-54,"<p>38. When his limbs were shattered by the blows of his horns, Garuḍa was dismayed. He forsook Viṣṇu and fled from the battle ground immediately.</p>",,
025-54,"<p>39. When the situation was like this, lord Kṛṣṇa, dismayed by Śiva&rsquo;s refulgence spoke to the charioteer suddenly.</p>",,
025-54,"<h2><em>Lord Kṛṣṇa said</em>:&mdash;</h2>",,
025-54,"<p>40. O charioteer, listen to my words. Drive the chariot immediately to lord Śiva so that I shall speak to him.</p>",,
025-54,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-54,"<p>41. Thus commanded by Viṣṇu, the charioteer Dāruka, the foremost of persons of good qualities, drove the chariot immediately to lord Śiva.</p>",,
025-54,"<p>42. Lord Kṛṣṇa resorted to Śiva, favourably disposed to his devotees, bowed to him with devotion with palms joined in reverence and submitted as follows.</p>",,
025-54,"<h2><em>Lord Kṛṣṇa said</em>:&mdash;</h2>",,
025-54,"<p>43. O lord Śiva, lord of the gods, favourably disposed to those who seek refuge in you, I bow to you the great lord, the soul of all and of infinite power.</p>",,
025-54,"<p>44. I bow to you, the cause of the origin, sustenance and dissolution of the universe, the sole form of perfect knowledge, the symbol of Brahman, the highly quiescent, the supreme lord.</p>",,
025-54,"<p>45-46. The time, the divinity, the activity, the individual soul, the nature, the solid objects, the vital airs, the soul, the groups of created beings, the series of seeds and sprouts everything is your illusion, O lord of the universe. I resort to you the cause of those things, the great lord.</p>",,
025-54,"<p>47. By the different forms assumed by you sportively, you, the lord of the worlds, support the gods and others and destroy those who go astray.</p>",,
025-54,"<p>48. You are the Brahman, the great light that is hidden in the Śabda Brahman which the purified souls see like the sole firmament.</p>",,
025-54,"<p>49. You are the primordial Puruṣa without a second. You are the fourth being, the vision of the soul. You appear as undergoing change though you are the lord, the cause without another cause unto you.</p>",,
025-54,"<p>50. O lord, for the manifestation of all the attributes, you appear different through your illusion, O supreme lord.</p>",,
025-54,"<p>51. O lord, just as the unconcealed sun illuminates many of his reflections by his brilliance, so you too do, being the great illuminating light.</p>",,
025-54,"<p>52. O great one, O self-illuminated lord Śiva, you brighten the attributes by means of the attribute itself, though you are not encompassed by the attribute.</p>",,
025-54,"<p>53. People whose intellects are deluded by your illusion become attached to sons, wives, abodes etc. and sink and float in the ocean of sin.</p>",,
025-54,"<p>54. After deriving this divinely bestowed human habitation, if a person does not control his sense-organs and respect your feet he is to be pitied. He deceives his own self.</p>",,
025-54,"<p>55. O lord, it is at your bidding that I have come here to cut off the hands of Bāṇa. This haughty Bāṇa was cursed by you who are the destroyer of haughtiness.</p>",,
025-54,"<p>56. O lord, please return from the battle-ground. Let not your curse go in vain. O lord, command me to cut off the hands of Bāṇa.</p>",,
025-54,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-54,"<p>57. O great sage, on hearing these words of lord Kṛṣṇa, Śiva the supreme lord who was propitiated by Kṛṣṇa&rsquo;s eulogy, replied:&mdash;</p>",,
025-54,"<h2><em>Lord Śiva said</em>:&mdash;</h2>",,
025-54,"<p>58. O dear, what you say is true; the lord of the Daityas has been cursed by me. It is at my bidding that you have come here to cut off the hands of Bāṇa.</p>",,
025-54,"<p>59. O lord of Lakṣmī, what can I do? O Viṣnu, I am subservient to my devotees always. How can there be the chopping of Bāṇa&rsquo;s arms while I am watching?</p>",,
025-54,"<p>60. Hence at my bidding make me benumbed by means of your Jṛṃbhaṇa missile. Thereafter you can do as you please and be happy.</p>",,
025-54,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-54,"<p>61. O great sage, thus urged by Śiva, lord Kṛṣṇa was surprised. He returned to the battlefield and rejoiced.</p>",,
025-54,"<p>62. O Vyāsa, Viṣnu an expert in the use of various missiles fixed the Jṛmbhaṇa missile to the bow and discharged it at Śiva.</p>",,
025-54,"<p>63. After enchanting Śiva, and making him benumbed by means of the Jṛmbhaṇa missile, Viṣṇu slew the army of Bāṇa by means of swords, daggers and clubs.</p>",,
025-55,"<h1>Chapter 55 - The chopping of Bāna&rsquo;s arms and his humiliation</h1>",,
025-55,"<h2><em>Vyāsa said</em>:&mdash;</h2>",,
025-55,"<p>1. O dear sage, Sanatkumāra, O omniscient son of Brahmā, obeisance be to you. A wonderful story has been narrated to me by you.</p>",,
025-55,"<p>2. When Śiva was made to yawn and lie flat by Viṣṇu through the Jṛmbhaṇa missile, in the course of the war and when the army of Bāṇa was slain, what did Bāṇa do? Please narrate.</p>",,
025-55,"<h2><em>Sūta said</em>:&mdash;</h2>",,
025-55,"<p>3. On hearing these words of Vyāsa of immeasurable refulgence, the great sage, the delighted son of Brahmā, replied.</p>",,
025-55,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-55,"<p>4. O Vyāsa of great intellect, listen to the highly wonderful story of Kṛṣṇa and Śiva who indulge in sports in accordance with the worldly conventions.</p>",,
025-55,"<p>5. When Śiva sportively lay flat on the ground along with his sons and Gaṇas, Bāṇa the king of Daityas came out to fight with Kṛṣṇa.</p>",,
025-55,"<p>6. With the horses mobilised by Kumbhāṇḍa, and holding various weapons and missiles, the powerful son of Bali performed an incomparable fight.</p>",,
025-55,"<p>7. On seeing his army destroyed, the lord of the Daityas became infuriated. The powerful son of Bali fought an incomparable battle.</p>",,
025-55,"<p>8. Lord Kṛṣṇa the great hero with additional strength derived from Śiva roared loudly in the battlefield considering Bāṇa as insignificant as a blade of grass.</p>",,
025-55,"<p>9. O great sage, he made the twanging sound on his wonderful bow called Śārṅga and frightened what little remained of Bāṇa&rsquo;s army.</p>",,
025-55,"<p>10. The intervening space between heaven and Earth was filled with the great sound originating from the twang on his bow.</p>",,
025-55,"<p>11. Drawing the string of his bow upto the ear, the infuriated Viṣṇu discharged sharp arrows, as furious as serpents, on Bāṇa.</p>",,
025-55,"<p>12. On seeing the arrows coming, Bāṇa the son of Bali, split them even before they reached him, by means of arrows discharged from his bow.</p>",,
025-55,"<p>13. Lord Bāṇa, suppressor of enemies roared again. The Vṛṣṇis thinking of Kṛṣṇa were afraid and dejected.</p>",,
025-55,"<p>14. Thinking upon the lotus-like feet of Śiva, the haughty son of Bali discharged his arrows at Krṣṇa the most valorous.</p>",,
025-55,"<p>15. Thinking upon the lotus-like feet of Śiva, the powerful destroyer of Asuras, Kṛṣṇa split them before they reached him by means of his own arrows.</p>",,
025-55,"<p>16. Rāma and other Vṛṣṇis, the powerful ones agitated by anger, slew their respective opponents.</p>",,
025-55,"<p>17. Thus the tumultuous fight between the two strong armies went on for a long time aggravating the wonder of the spectators.</p>",,
025-55,"<p>18. In the meantime the infuriated king of birds suppressed the army of Bāṇa striking all with his wings.</p>",,
025-55,"<p>19. Seeing his army routed and himself oppressed, Bāṇa, the powerful lord of Daityas, son of Bali, foremost among Śiva&rsquo;s devotees, was infuriated.</p>",,
025-55,"<p>20. Thinking upon the lotus-like feet of Śiva, the thousand-armed Bāṇa displayed his valour unbearable to his enemies.</p>",,
025-55,"<p>21. The destroyer of heroes discharged simultaneously an unlimited number of arrows on Garuḍa, Kṛṣṇa and Yadus separately.</p>",,
025-55,"<p>22. O sage, he hit Garuḍa with an arrow, Kṛṣṇa with another, Bala with a third. The powerful hero hit others too.</p>",,
025-55,"<p>23. Then Kṛṣṇa the great lord, of great valour, of the form of Viṣṇu, the destroyer of demons, became angry and roared in the course of the battle.</p>",,
025-55,"<p>24. Thinking upon Śiva he hit Bāṇa and his terrible army simultaneously with the good arrows discharged with force from his bow.</p>",,
025-55,"<p>25. Viṣṇu split his bow and umbrella as well as other things. Without being excited he killed and felled his horses by means of his arrows.</p>",,
025-55,"<p>26. Bāṇa the great hero roared furiously. He hit Kṛṣṇa with his iron club and Kṛṣṇa fell on the ground.</p>",,
025-55,"<p>27. O celestial sage, Kṛṣṇa got up immediately and fought with Bāṇa, the great devotee of Śiva. It was to keep up the worldly sport that he fought thus.</p>",,
025-55,"<p>28. A great battle went on for a long time between Kṛṣṇa who was Viṣṇu or Śiva himself and that strong Asura who was the most excellent devotee of Śiva.</p>",,
025-55,"<p>29. O great sage, the powerful Kṛṣṇa fought for a long time with Bāṇa. Deriving strength at the instance of Śiva he became furious.</p>",,
025-55,"<p>30. At the bidding of Śiva, lord Kṛṣṇa, the destroyer of heroic enemies, chopped off several arms of Bāṇa by means of Sudarśana.</p>",,
025-55,"<p>31. Only his four beautiful arms were left. Thanks to the grace of Śiva, the demon too was freed from pain.</p>",,
025-55,"<p>32. Forgetting himself, Kṛṣṇa who assumed a great prowess, attempted to cut off the head of Bāṇa. Then Śiva got up.</p>",,
025-55,"<h2><em>Śiva said</em>:&mdash;</h2>",,
025-55,"<p>33. O lord, son of Devakī, O Viṣṇu, what was ordained by me formerly has been accomplished by you who always follow my dictates.</p>",,
025-55,"<p>34. Do not cut off the head of Bāṇa. Withdraw your weapon Sudarśana. At my bidding the discus shall always be rendered ineffective with regard to my people.</p>",,
025-55,"<p>35. O Viṣṇu, this unfailing discus and victory in battle were formerly bestowed on you by me. Hence you withdraw from the battleground.</p>",,
025-55,"<p>36. O lord of Lakṣmī, you did not hurl this discus at Dadhīca, Rāvaṇa, Tāraka, Tripuras and others without my consent.</p>",,
025-55,"<p>37. You are a great Yogin, the supreme soul and the exciter of men. Hence you ponder over this yourself. You are engaged in the welfare of all living beings.</p>",,
025-55,"<p>38. I have granted him a boon that he will not fear death. These words of mine shall remain true for ever. I am pleased with you.</p>",,
025-55,"<p>39. O Viṣṇu, sometime back he became haughty enough to say &ldquo;Give me battle&rdquo; while he scratched his arms and forgot his goal.</p>",,
025-55,"<p>40. Then I cursed him&mdash;&ldquo;Ere long, the person will arrive and cut off your arms. You shall be cured of your haughtiness&rdquo;.</p>",,
025-55,"<p>41. (<em>Turning to Baṇa</em>) At my bidding Viṣṇu has cut off your arms. Now withdraw from the battlefield. Go back to your abode along with the married couple.</p>",,
025-55,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-55,"<p>42. Saying this and uniting them in friendship, lord Śiva returned to his abode along with his sons and Gaṇas.</p>",,
025-55,"<p>43. On hearing the words of Śiva, Kṛṣṇa withdrew Sudarśana. With his body unwounded, the victorious Kṛṣṇa entered into the harem.</p>",,
025-55,"<p>44. He consoled Aniruddha and his wife. He accepted the jewels given in plenty by Bāṇa.</p>",,
025-55,"<p>45. They took Ūṣā&rsquo;s friend Citralekhā the great Yoginī also with them. Kṛṣṇa who accomplished his task at the bidding of Śiva was immensely pleased.</p>",,
025-55,"<p>46. After mentally bowing to Śiva, Viṣṇu took leave of Bāṇa and returned to his city along with his followers.</p>",,
025-55,"<p>47. On the way he conquered Varuṇa who had opposed him in various ways. After reaching Dvārakā he celebrated the event jubilantly.</p>",,
025-55,"<p>48. After reaching Dvārakā he dismissed Garuḍa. Seeing his friends and joking with them he roamed about as he pleased.</p>",,
025-56,"<h1>Chapter 56 - Bāṇāsura attains the position of Śiva&rsquo;s Gaṇa</h1>",,
025-56,"<h2><em>Nārada said</em>:&mdash;</h2>",,
025-56,"<p>1. O great sage, when Kṛṣṇa left for Dvārakā along with Aniruddha and his wife, what did Bāṇa do? Please narrate the same to me.</p>",,
025-56,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-56,"<p>2. When Kṛṣṇa left for Dvārakā with Aniruddha and his wife, Bāṇa was distressed thinking on his previous ignorance.</p>",,
025-56,"<p>3. Then Nandin, a gaṇa of Śiva, spoke to the grief-stricken Daitya Bāṇa whose limbs were smeared with blood and who repented repeatedly.</p>",,
025-56,"<h2><em>Nandiśvara said</em>:&mdash;</h2>",,
025-56,"<p>4. O Bāṇa, devotee of Śiva, do not repent. Śiva is compassionate towards his devotees. Hence he is called Bhaktavatsala (i.e. favourably disposed to the devotees).</p>",,
025-56,"<p>5. O foremost among devotees, whatever has happened, has happened at his will. Consider this and remember Śiva again and again.</p>",,
025-56,"<p>6. Fixing your mind in the primordial being, Śiva who is compassionate towards the devotees, you celebrate his festival again and again.</p>",,
025-56,"<p>7. At the suggestion of Nandin, Bāṇa who had been like Rāhu unto his enemies immediately went to Śiva&rsquo;s temple with lofty mind and great courage.</p>",,
025-56,"<p>8. After going there he bowed to the lord and lamented in great agitation. Bāṇa who had been divested of his haughtiness became overwhelmed with love and devotion.</p>",,
025-56,"<p>9-10. He eulogised him with various hymns, He bowed to the lord in the course of his worship. With proper steps and gestures of hands he performed the Tāṇḍava dance assuming various poses and postures&mdash;Pratyālīdha, Sthānaka, Ālīḍha being the chief among them.</p>",,
025-56,"<p>11-14. He produced thousands of gestures through his mouth. He knit and bent his brows and shook his head in various ways. He kept thousands of attendants in rows. He showed various gestures gradually. Much of his blood was shed on the ground. By all these means be propitiated the trident-bearing moon-crested lord. Bāṇāsura the great devotee of Śiva forgot himself and his activities in the course of his worship. Śiva who is fond of dance and music and is favourably disposed to his devotees spoke to Bāṇa.</p>",,
025-56,"<h2><em>Śiva said</em>:&mdash;</h2>",,
025-56,"<p>15. &ldquo;Dear Bāṇa, son of Bali, I am delighted by your dance. O lord of Daityas, you choose the boon whatever be in your mind&rdquo;.</p>",,
025-56,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-56,"<p>16-20. O sage, on hearing the words of śiva, Bāṇa the lord of Daityas asked for the healing of wounds, the skill in duels, everlasting position of Gaṇahood, the kingship for Uṣā&rsquo;s (Ūṣā&rsquo;s?) son at the city of Śoṇita, absence of enmity with the gods and Viṣṇu in particular, absence of rebirth as a Daitya defiled by the attributes Rajas and Tamas, special devotion to Śiva without any aberration for ever, friendship with the devotees of Śiva and kindness to all living beings. After requesting for these boons, the son of Bali, the great Asura joined his palms in reverence and eulogised Śiva with tears of love in his eyes.</p>",,
025-56,"<h2><em>Bāṇa said</em>:&mdash;</h2>",,
025-56,"<p>21. O great lord, lord of the gods, favourably disposed to those who seek refuge in you, O great lord, I bow to you, O kinsman of the distressed, O storehouse of mercy.</p>",,
025-56,"<p>22. O Śiva, O ocean of sympathy, you have taken pity on me. O lord, being delighted with me you have removed my arrogance.</p>",,
025-56,"<p>23. You are Brahman, the great soul, the all-pervading lord. _ Your body is the whole cosmos. You are Ugra, Īśa, Virāṭ, the great, accompanied by everything.</p>",,
025-56,"<p>24. O lord, your navel is the sky, mouth is the fire, semen is the water, ear the quarters, head the heaven, foot the earth and mind the moon.</p>",,
025-56,"<p>25. Your eye is the sun, the stomach the ocean, the arm Indra, and the intellect Brahmā. Your excretion is Prajāpati and your heart is Dharma.</p>",,
025-56,"<p>26. O lord, your hairs are the herbs and plants, your tresses the clouds, your eyes the three attributes. You are the Puruṣa, the soul of all.</p>",,
025-56,"<p>27. They call Brāhmaṇa your mouth, Kṣatriya your arms, Vaiśya your thighs and Śūdra your feet.</p>",,
025-56,"<p>28. O lord Śiva, you alone deserve to be adored by all living beings. A person worshipping you certainly derives liberation.</p>",,
025-56,"<p>29. O lord, the man who forsakes you, the favourite Ātman, for the adverse objects of sense, swallows poison forsaking nectar.</p>",,
025-56,"<p>30. Viṣṇu, Brahmā, the gods and the sages of pure mind, in every respect resort to you, the favourite lord.</p>",,
025-56,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
025-56,"<p>31. After saying this, the Asura Bāṇa, son of Bali stopped with all the limbs blooming with love and bowed to lord Śiva.</p>",,
025-56,"<p>32. On hearing the request of his devotee Bāṇa, lord Śiva said &ldquo;You will get everything&rdquo; and vanished there itself.</p>",,
025-56,"<p>33. Then through the grace of Śiva, Bāṇa attained the immortality of the eternal time and becoming one of the attendants of Śiva he rejoiced much.</p>",,
025-56,"<p>34. Thus I have narrated by means of words pleasing to the ears, the excellent story of the trident-bearing lord Śiva, who is the preceptor of the preceptors and who sports about always in the middle of the worlds. His story includes his activities in relation to Bāṇa.</p>",,
025-57,"<h1>Chapter 57 - Gajāsura is slain</h1>",,
025-57,"<h2><em>Sanatkumāra said</em>:&mdash;</h2>",,
